-380.323 -183.218 1203.23
-648.305 -116.236 3030.87
-210.393 5.48072 1023.1
-349.975 9.81958 2135.68
-343.924 -279.861 2942.66
-262.362 -380.006 2840.15
-244.955 -440.194 3000.05
-154.814 -510.009 2977.46
-30.3228 -406.625 2317.51
80.2145 -427.577 2859.51
73.3317 -283.355 2104.77
209.492 -205.811 2881.04
191.452 -35.7014 2204.49
212.21 69.4377 2082.74
431.975 -38.3835 3235.15
541.917 -216.008 3218.97
132.545 -70.4803 782.81
551.44 -271.672 2495.55
1054.63 -388.169 4068.72
691.376 -192.866 2559.09
894.323 30.248 2994.71
785.858 85.4449 2611.32
